38.13,105.71,0.03,2913.69
38.06,32.48,0.05,3.52
38.07,51.84,0.01,1752.01
38.12,46.39,0.06,699.55
37.97,39.24,0.03,22.53
38.05,70.49,0.03,1708.51
38.07,100.16,0.04,1166.68
37.95,34.81,0.04,106.58
37.72,48.66,0.04,1105.44
37.79,80.82,0.05,2324.17
37.80,115.10,0.05,1967.08
38.22,109.54,0.05,2271.51
38.33,150.00,0.05,0.00
38.13,150.00,0.03,0.00
38.22,147.25,0.37,67.15
38.41,150.00,0.20,0.00
37.74,101.28,0.72,2750.51
38.37,50.77,0.53,312.57
38.38,65.57,0.24,1603.09
38.48,55.19,0.24,402.21
38.40,57.32,0.04,644.12
38.28,92.20,0.05,2336.79
38.18,48.36,0.04,36.82
38.27,45.80,0.05,100.96
38.15,62.92,0.04,971.31
38.14,135.68,0.26,814.30
38.32,146.32,0.07,302.63
38.11,150.00,0.50,0.00
38.52,81.92,0.03,1653.63
38.30,37.06,0.05,35.81
38.48,84.92,0.30,2357.30
38.37,150.00,0.05,0.00
